C,Size,Time
1024,1,6
1024,1,4
1024,1,2
1024,2,4
1024,3,8
1024,5,8
1024,7,14
1024,10,19
1024,14,24
1024,20,28
1024,28,48
1024,40,60
1024,56,140
1024,79,132
1024,111,209
1024,155,331
1024,217,367
1024,304,580
1024,426,757
1024,597,947
1024,836,1243
1024,1171,1717
1024,1639,2458
1024,2295,3410
1024,3214,4781
1024,4499,6748
1024,6299,9385
1024,8819,13222
1024,12347,19213
1024,17286,28003
1024,24201,36359
1024,33882,51554
1,47434,121
1,47434,116
1,47434,113
2,47434,198
3,47434,275
5,47434,369
7,47434,571
10,47434,748
14,47434,1146
20,47434,1444
28,47434,2188
40,47434,3266
56,47434,6910
79,47434,10448
111,47434,11530
155,47434,16731
217,47434,17054
304,47434,22926
426,47434,34677
597,47434,46094
836,47434,68022
1171,47434,89528
1639,47434,146881
2295,47434,258593
3214,47434,282233
4499,47434,559496

